Coordinate,Energy
-3.700000, -188.694943
-3.650000, -188.694859
-3.600000, -188.694753
-3.550000, -188.694628
-3.500000, -188.694486
-3.450000, -188.694325
-3.400000, -188.694144
-3.350000, -188.693940
-3.300000, -188.693712
-3.250000, -188.693460
-3.200000, -188.693181
-3.150000, -188.692874
-3.100000, -188.692539
-3.050000, -188.692174
-3.000000, -188.691778
-2.950000, -188.691350
-2.900000, -188.690889
-2.850000, -188.690395
-2.800000, -188.689865
-2.750000, -188.689298
-2.700000, -188.688695
-2.650000, -188.688053
-2.600000, -188.687372
-2.550000, -188.686650
-2.500000, -188.685886
-2.450000, -188.685078
-2.400000, -188.684225
-2.350000, -188.683325
-2.300000, -188.682377
-2.250000, -188.681379
-2.200000, -188.680328
-2.150000, -188.679223
-2.100000, -188.678062
-2.050000, -188.676841
-2.000000, -188.675558
-1.950000, -188.674211
-1.900000, -188.672797
-1.850000, -188.671313
-1.800000, -188.669755
-1.750000, -188.668120
-1.700000, -188.666406
-1.650000, -188.664609
-1.600000, -188.662725
-1.550000, -188.660751
-1.500000, -188.658685
-1.450000, -188.656522
-1.400000, -188.654260
-1.350000, -188.651896
-1.300000, -188.649428
-1.250000, -188.646853
-1.200000, -188.644169
-1.150000, -188.641373
-1.100000, -188.638465
-1.050000, -188.635442
-1.000000, -188.632303
-0.950000, -188.629047
-0.900000, -188.625673
-0.850000, -188.622180
-0.800000, -188.618572
-0.750000, -188.614855
-0.700000, -188.611040
-0.650000, -188.607148
-0.600000, -188.603208
-0.550000, -188.599261
-0.500000, -188.595356
-0.450000, -188.591554
-0.400000, -188.587917
-0.350000, -188.584514
-0.300000, -188.581409
-0.250000, -188.578665
-0.200000, -188.576338
-0.150000, -188.574480
-0.100000, -188.573131
-0.050000, -188.572317
0.000000, -188.572048
0.050000, -188.572315
0.100000, -188.573114
0.150000, -188.574424
0.200000, -188.576215
0.250000, -188.578450
0.300000, -188.581086
0.350000, -188.584079
0.400000, -188.587381
0.450000, -188.590944
0.500000, -188.594723
0.550000, -188.598670
0.600000, -188.602742
0.650000, -188.606898
0.700000, -188.611099
0.750000, -188.615311
0.800000, -188.619504
0.850000, -188.623649
0.900000, -188.627723
0.950000, -188.631704
1.000000, -188.635573
1.050000, -188.639313
1.100000, -188.642909
1.150000, -188.646348
1.200000, -188.649617
1.250000, -188.652707
1.300000, -188.655612
1.350000, -188.658326
1.400000, -188.660851
1.450000, -188.663188
1.500000, -188.665347
1.550000, -188.667335
1.600000, -188.669166
1.650000, -188.670850
1.700000, -188.672402
1.750000, -188.673830
1.800000, -188.675147
1.850000, -188.676360
1.900000, -188.677477
1.950000, -188.678505
2.000000, -188.679450
2.050000, -188.680319
2.100000, -188.681116
2.150000, -188.681847
2.200000, -188.682516
2.250000, -188.683127
2.300000, -188.683686
2.350000, -188.684194
2.400000, -188.684655
2.450000, -188.685072
2.500000, -188.685446
2.550000, -188.685779
2.600000, -188.686072
2.650000, -188.686326
2.700000, -188.686541
2.750000, -188.686718
2.800000, -188.686856
2.850000, -188.686956
